name,adm1_code,WHO_REGION,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED_PER100,PERSONS_BOOSTER_ADD_DOSE_PER100,NUMBER_VACCINES_TYPES_USED
Suriname,SUR,AMRO,94.538,45.654,40.55,8.334,5
Sweden,SWE,EURO,222.4,72.687,71.354,53.646,5
Switzerland,CHE,EURO,189.5,70.817,66.463,53.953,6
Syrian Arab Republic,SYR,EMRO,27.299,17.433,12.029,0.434,11
Tajikistan,TJK,EURO,161.9,55.39,53.688,51.91,6
Thailand,THA,SEARO,197.675,82.202,77.255,38.218,8
United Kingdom,GBR,EURO,222.8,79.068,74.586,0,3
Timor-Leste,TLS,SEARO,143.358,65.597,58.173,19.588,4
Togo,TGO,AFRO,40.885,27,17.551,5.163,1
Tokelau,TKL,WPRO,364.741,110.667,110.667,71.704,1
Tonga,TON,WPRO,192.173,82.5,72.686,36.082,2
Trinidad and Tobago,TTO,AMRO,113.097,53.877,51.294,12.085,5
Tunisia,TUN,EMRO,111.31,61.007,54.024,10.587,10
Turkey,TUR,EURO,0,69.673,63.943,0,3
Turkmenistan,TKM,EURO,224.1,61.812,61.165,55.379,7
Turks and Caicos Islands,TCA,AMRO,188.122,83.522,78.227,18.782,1
Tuvalu,TUV,WPRO,217.02,81.437,79.054,46.879,1
Uganda,UGA,AFRO,56.368,41.248,27.908,0.943,5
Ukraine,UKR,EURO,72.4,36.069,34.65,1.695,6
United Arab Emirates,ARE,EMRO,251.982,101.018,99.008,51.956,11
United Republic of Tanzania,TZA,AFRO,55.066,47.216,43.188,0,3
United States of America,USA,AMRO,192.947,79.729,67.989,33.696,4
Uruguay,URY,AMRO,251.775,86.425,83.32,59.438,3
Uzbekistan,UZB,EURO,211.2,63.483,52.374,43.409,8
Vanuatu,VUT,WPRO,95.117,46.978,42.749,5.39,3
Venezuela (Bolivarian Republic of),VEN,AMRO,133.145,77.92,50.244,2.291,6
Viet Nam,VNM,WPRO,269.353,92.53,86.777,58.283,6
Wallis and Futuna,WLF,WPRO,149.226,58.616,62.147,28.463,1
Yemen,YEM,EMRO,3.853,3.076,2.276,0.187,11
Zambia,ZMB,AFRO,71.761,58.213,44.844,5.335,3
Zimbabwe,ZWE,AFRO,85.413,44.127,33.154,8.132,4
